Depth,Resistivity,Gamma Ray,Total Porosity,Bulk Density,Actual Poisson Ratio(u),Actual Young Modulus(E),Predicted Poisson Ratio(u),Predicted Young Modulus(E)
6964.455978,0.043604498,0.263674359,0.423324076,0.659879475,0.245698293,4937549.379,0.251737193,4984448.22
6964.821341,0.039672126,0.258699059,0.348125485,0.69264969,0.250051995,5082362.805,0.273896043,5489539.549
6966.35993,0.070234161,0.285531303,0.242570946,0.720894679,0.261667913,5504389.561,0.256201132,5450599.743
6967.787894,0.049851467,0.286395978,0.471577924,0.591703992,0.253896207,5120462.034,0.250132349,4772301.403
6969.157609,0.061700683,0.289489163,0.577329856,0.45651116,0.210874762,4538989.206,0.21340945,4463011.923
6969.777076,0.058356902,0.278788642,0.474229056,0.501701472,0.214273426,4590684.127,0.219123416,4565479.276
6970,0.056210429,0.273129835,0.420920068,0.532211687,0.218774499,4646746.519,0.232186912,4827096.521
6970.932811,0.053267988,0.260510622,0.340332868,0.616035902,0.229203028,4905260.78,0.237201931,4976879.04
6971,0.053156834,0.260277828,0.33950663,0.618664005,0.22933815,4918544.063,0.239831347,5032938.128
6972.884962,0.051408732,0.284529024,0.466708672,0.512045431,0.222228642,4579665.678,0.22454729,4646231.099
6973.493878,0.051066516,0.293586625,0.446559164,0.50784682,0.230724499,4556438.934,0.230812265,4565379.362
6974.732811,0.04399491,0.279140838,0.352922638,0.628527595,0.250163202,4811139.203,0.255084236,4810703.536
6975.403702,0.0511361,0.272706866,0.389918424,0.634539436,0.246316873,4848375.604,0.248081484,4917101.163
6975.971745,0.05424605,0.272802048,0.503269871,0.583535644,0.235789981,4721587.66,0.241254525,4656232.982
6976.591212,0.051233937,0.27775239,0.645173734,0.527616049,0.227636194,4525408.078,0.229672324,4553743.61
6976.831666,0.048845026,0.279515556,0.688803252,0.512902609,0.226099276,4454136.227,0.229134135,4428365.895
6977.307654,0.04023345,0.282157374,0.691649293,0.515733117,0.229305112,4379717.111,0.227689389,4388096.14
6978.090697,0.030120217,0.279259662,0.569927635,0.55842507,0.241546587,4414833.493,0.239860147,4544132.373
6978.735618,0.02197831,0.276002979,0.462791288,0.614414382,0.24728508,4546911.219,0.24759113,4713860.434
6979.687594,0.031154732,0.260551792,0.46437005,0.623040793,0.243799056,4603138.521,0.245362119,4695310.645
6980,0.037845938,0.255526622,0.502926143,0.597680663,0.241321572,4565122.661,0.245380601,4607093.58
